RMSE,NRMSE,Pearson,Kendall,Spearman
"{'Tree': 1, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.035262017736424955)}","{'Tree': 1, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9882879729125497)}","{'Tree': 1, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.15260040169148414)}","{'Tree': 1, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.10843422860735544)}","{'Tree': 1, 'Depth': '60', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.17275131193963117)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.37147638100878705)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.9315717462642908)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.32509122488151865)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.3052083021123457)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.4557344382652496)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.6911817599628575)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.7333145040502436)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.3112019666100319)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.2576742916108669)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.3589476272435686)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': nan}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': '60', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.04299813410353791)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9709657744150683)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.2392184460164995)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.18304484097515417)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(-0.2981767290792989)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.25660899586188085)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(0.9882584367193007)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.15279156473157576)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.029702862996111332)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(-0.025558500080630098)}"
"{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.5416058160465752)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(2.0351345963947103)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.018569130211143477)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.0447360727109923)}","{'Tree': 2, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.07428506274677682)}"
